"Message",Low,"빌드를 시작했습니다."
"Message",Low,"""Unnamed_1"" 프로젝트(기본 대상):"
"Message",Low,"도구 버전 ""4.0""(을)를 사용하여 빌드하고 있습니다."
"Message",Low,"""\\mac\home\documents\visual studio 2015\Projects\App7\App7\Unnamed_1"" 프로젝트의 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\IlcInternals.targets"" 파일에 있는 ""PrintILCStartMessage"" 대상(""Build"" 대상이 종속됨):"
"Message",Low,"""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\ilc.exe"" 어셈블리에서 ""IlcMessageTask"" 작업을 사용합니다."
"Message",Low,"""IlcMessageTask"" 작업"
"Message",High,".NET Native 컴파일 시작"
"Message",Low,"""IlcMessageTask"" 작업을 실행했습니다."
"Message",Low,"""Unnamed_1"" 프로젝트에 ""PrintILCStartMessage"" 대상을 빌드했습니다."
"Message",Low,"""\\mac\home\documents\visual studio 2015\Projects\App7\App7\Unnamed_1"" 프로젝트의 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\IlcInternals.targets"" 파일에 있는 ""LogAppContextSwitches"" 대상(""SetMainTargetPaths"" 대상이 종속됨):"
"Message",Low,"""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"" 어셈블리에서 ""Message"" 작업을 사용합니다."
"Message",Low,"""Message"" 작업"
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"""Message"" 작업을 실행했습니다."
"Message",Low,"""Unnamed_1"" 프로젝트에 ""LogAppContextSwitches"" 대상을 빌드했습니다."
"Message",Low,"""\\mac\home\documents\visual studio 2015\Projects\App7\App7\Unnamed_1"" 프로젝트의 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\IlcInternals.targets"" 파일에 있는 ""SetMainTargetPaths"" 대상(""CopyNativeExecutablesToOutput"" 대상이 종속됨):"
